_RAJ2000,_DEJ2000,Name,Vmag_landolt,e_Vmag_landolt,B-V_landolt,e_B-V_landolt,U-B_landolt,e_U-B_landolt,V-R_landolt,e_V-R_landolt,R-I_landolt,e_R-I_landolt,V-I_landolt,e_V-I_landolt,B-V_apass,e_B-V_apass,Bmag_apass,e_Bmag_apass,Vmag_apass,e_Vmag_apass,g_mag_apass,e_g_mag_apass,r_mag_apass,e_r_mag_apass,i_mag_apass,e_i_mag_apass
7.519138,-46.469492,TPhe I,14.819999694824219,0.0026000000070780516,0.7639999985694885,0.0031999999191612005,0.33799999952316284,0.007199999876320362,0.421999990940094,0.003599999938160181,0.39500001072883606,0.009800000116229057,0.8169999718666077,0.010999999940395355,0.8009999990463257,0.05700000002980232,15.571999549865723,0.01600000075995922,14.770999908447266,0.05400000140070915,15.118000030517578,0.027000000700354576,14.545999526977539,0.05000000074505806,14.418999671936035,0.19099999964237213
7.539975,-46.524697,TPhe A,14.651000022888184,0.00279999990016222,0.7929999828338623,0.004600000102072954,0.3799999952316284,0.0071000000461936,0.4350000023841858,0.0019000000320374966,0.4050000011920929,0.0035000001080334187,0.8410000205039978,0.0031999999191612005,0.8190000057220459,0.032999999821186066,15.435999870300293,0.013000000268220901,14.616999626159668,0.03099999949336052,14.991999626159668,0.017999999225139618,14.371000289916992,0.035999998450279236,14.163999557495117,0.10499999672174454
7.540346,-46.45675,TPhe H,14.942000389099121,0.002899999963119626,0.7400000095367432,0.002899999963119626,0.22499999403953552,0.0071000000461936,0.42500001192092896,0.0035000001080334187,0.42500001192092896,0.007699999958276749,0.8510000109672546,0.009800000116229057,0.7680000066757202,0.05900000035762787,15.684000015258789,0.039000000804662704,14.916000366210938,0.04500000178813934,15.215999603271484,0.028999999165534973,14.668000221252441,0.023000000044703484,14.494000434875488,0.17100000381469727
7.567971,-46.466269,TPhe B,12.333999633789062,0.011500000022351742,0.4050000011920929,0.0026000000070780516,0.15600000321865082,0.0038999998942017555,0.2619999945163727,0.0020000000949949026,0.2709999978542328,0.0019000000320374966,0.5350000262260437,0.0035000001080334187,0.3880000114440918,0.027000000700354576,12.699999809265137,0.020999999716877937,12.310999870300293,0.017000000923871994,12.454000473022461,0.010999999940395355,12.229999542236328,0.035999998450279236,12.081999778747559,0.09799999743700027
7.57075,-46.539278,TPhe C,14.37600040435791,0.002199999988079071,-0.2980000078678131,0.002400000113993883,-1.2170000076293945,0.00430000014603138,-0.14800000190734863,0.003800000064074993,-0.210999995470047,0.013299999758601189,-0.36000001430511475,0.01489999983459711,-0.27399998903274536,0.017000000923871994,14.10099983215332,0.010999999940395355,14.375,0.012000000104308128,14.119000434875488,0.00800000037997961,14.586000442504883,0.014000000432133675,14.986000061035156,0.1120000034570694
7.576425,-46.522181,TPhe D,13.118000030517578,0.0032999999821186066,1.5509999990463257,0.003000000026077032,1.871000051498413,0.011800000444054604,0.8489999771118164,0.001500000013038516,0.8100000023841858,0.002300000051036477,1.6629999876022339,0.003000000026077032,1.534000039100647,0.012000000104308128,14.65999984741211,0.009999999776482582,13.12600040435791,0.00800000037997961,13.85099983215332,0.03500000014901161,12.597000122070312,0.023000000044703484,11.897000312805176,0.10999999940395355
7.582367,-46.409889,TPhe E,11.630999565124512,0.0017000000225380063,0.4429999887943268,0.0013000000035390258,-0.10300000011920929,0.0024999999441206455,0.2759999930858612,0.000699999975040555,0.28299999237060547,0.0015999999595806003,0.5640000104904175,0.0020000000949949026,0.4230000078678131,0.020999999716877937,12.050999641418457,0.0,11.628000259399414,0.020999999716877937,11.77299976348877,0.006000000052154064,11.541999816894531,0.032999999821186066,11.371000289916992,0.0989999994635582
7.707583,-46.556686,TPhe F,12.475000381469727,0.0007999999797903001,0.8529999852180481,0.002400000113993883,0.5339999794960022,0.009499999694526196,0.492000013589859,0.0005000000237487257,0.43700000643730164,0.00139999995008111,0.9290000200271606,0.002899999963119626,0.8370000123977661,0.02500000037252903,13.300999641418457,0.014999999664723873,12.46399974822998,0.020999999716877937,12.843000411987305,0.006000000052154064,12.17199993133545,0.006000000052154064,11.913000106811523,0.1120000034570694
7.734646,-46.390567,TPhe K,12.9350004196167,0.000699999975040555,0.8059999942779541,0.000699999975040555,0.4020000100135803,0.016300000250339508,0.4729999899864197,0.000699999975040555,0.42899999022483826,9.999999747378752e-05,0.9089999794960022,0.000699999975040555,0.8040000200271606,0.03099999949336052,13.760000228881836,0.026000000536441803,12.954999923706055,0.01600000075995922,13.279999732971191,0.03200000151991844,12.717000007629395,0.035999998450279236,12.392999649047852,0.09799999743700027
7.767929,-46.380931,TPhe G,10.446999549865723,0.0007999999797903001,1.5449999570846558,0.0010999999940395355,1.909999966621399,0.004900000058114529,0.9340000152587891,0.0007999999797903001,1.0859999656677246,0.0015999999595806003,2.0250000953674316,0.0017000000225380063,1.4910000562667847,0.04500000178813934,11.965999603271484,0.02800000086426735,10.475000381469727,0.03500000014901161,11.229999542236328,0.10899999737739563,10.026000022888184,0.1589999943971634,9.036999702453613,0.0689999982714653
8.050637,1.188133,HD 2892,9.359999656677246,0.0026000000070780516,1.3220000267028809,0.002199999988079071,1.4140000343322754,0.0017999999690800905,0.6919999718666077,0.0017000000225380063,0.628000020980835,0.002099999925121665,1.3209999799728394,0.0017000000225380063,1.309999942779541,0.07100000232458115,10.680000305175781,0.06599999964237213,9.369999885559082,0.026000000536441803,9.972000122070312,0.07999999821186066,8.906999588012695,0.004000000189989805,8.458999633789062,0.012000000104308128
